序号,组别,信号时间,成交时间,方向,6K极值,回调突破线,回调偏移%,ATR,入场触发线,成交方式,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,年份
1,参照_回调线入场_B,2026-08-19 20:00,2026-08-19 20:00,做多,65057.9,65057.9,0.0,425.81,65057.9,回调线入场,65057.9,64632.09,79370.64,2026-08-21 16:00,79370.64,11,33.613,22.0,0.0,固定止盈,2026
2,参照_回调线入场_B,2026-08-18 20:00,2026-08-18 20:00,做多,64600.8,64600.8,0.0,392.09,64600.8,回调线入场,64600.8,64208.71,78812.98,2026-08-19 12:00,64296.3,4,-0.7766,-0.471,0.0,保本平仓,2026
3,参照_回调线入场_B,2026-08-17 04:00,2026-08-17 04:00,做空,62928.5,62928.5,0.0,334.9,62928.5,回调线入场,62928.5,63263.4,55377.08,2026-08-17 08:00,63263.4,1,-1.0,-0.532,0.0,ATR止损,2026
4,参照_回调线入场_B,2026-08-10 20:00,2026-08-10 20:00,做空,64794.4,64794.4,0.0,417.51,64794.4,回调线入场,64794.4,65211.91,57019.07,2026-08-12 16:00,64089.11,11,1.6893,1.089,0.0,KAMA跟踪,2026
5,参照_回调线入场_B,2026-08-09 08:00,2026-08-09 08:00,做空,64784.3,64784.3,0.0,531.81,64784.3,回调线入场,64784.3,65316.11,57010.18,2026-08-10 00:00,65207.8,4,-0.7963,-0.654,0.0,KAMA跟踪,2026
6,参照_回调线入场_B,2026-08-07 16:00,2026-08-07 16:00,做多,64971.0,64971.0,0.0,565.4,64971.0,回调线入场,64971.0,64405.6,79264.62,2026-08-08 08:00,64885.5,4,-0.1512,-0.132,0.0,保本平仓,2026
7,参照_回调线入场_B,2026-08-06 00:00,2026-08-06 00:00,做多,64728.5,64512.9,0.333,599.12,64512.9,回调线入场,64512.9,63913.78,78705.74,2026-08-06 16:00,64512.9,4,0.0,0.0,0.0,保本平仓,2026
8,参照_回调线入场_B,2026-08-03 12:00,2026-08-03 12:00,做空,62745.0,62961.1,0.344,559.66,62961.1,回调线入场,62961.1,63520.76,55405.77,2026-08-03 20:00,63520.76,2,-1.0,-0.889,0.0,ATR止损,2026
9,参照_回调线入场_B,2026-07-31 16:00,2026-07-31 16:00,做空,63835.6,63950.0,0.179,663.14,63950.0,回调线入场,63950.0,64613.14,56276.0,2026-08-02 08:00,63165.51,10,1.183,1.227,0.0,KAMA跟踪,2026
10,参照_回调线入场_B,2026-07-30 16:00,2026-07-30 16:00,做多,64715.9,64715.9,0.0,609.32,64715.9,回调线入场,64715.9,64106.58,78953.4,2026-07-31 08:00,64715.9,4,0.0,0.0,0.0,保本平仓,2026
11,参照_回调线入场_B,2026-07-28 04:00,2026-07-28 04:00,做空,64374.4,64606.3,0.36,487.19,64606.3,回调线入场,64606.3,65093.49,56853.54,2026-07-29 12:00,64390.63,8,0.4427,0.334,0.0,KAMA跟踪,2026
12,参照_回调线入场_B,2026-07-24 20:00,2026-07-24 20:00,做空,64636.0,64636.0,0.0,600.72,64636.0,回调线入场,64636.0,65236.72,56879.68,2026-07-26 20:00,64558.3,12,0.1293,0.12,0.0,KAMA跟踪,2026
13,参照_回调线入场_B,2026-07-23 12:00,2026-07-23 12:00,做空,65505.0,65505.0,0.0,625.63,65505.0,回调线入场,65505.0,66130.63,57644.4,2026-07-24 08:00,65346.98,5,0.2526,0.241,0.0,KAMA跟踪,2026
14,参照_回调线入场_B,2026-07-20 20:00,2026-07-20 20:00,做多,65084.6,65084.6,0.0,557.36,65084.6,回调线入场,65084.6,64527.24,79403.21,2026-07-22 20:00,65611.39,12,0.9451,0.809,0.0,KAMA跟踪,2026
15,参照_回调线入场_B,2026-07-20 12:00,2026-07-20 12:00,做空,64259.5,64259.5,0.0,552.68,64259.5,回调线入场,64259.5,64812.18,56548.36,2026-07-20 16:00,64812.18,1,-1.0,-0.86,0.0,ATR止损,2026
16,参照_回调线入场_B,2026-07-19 00:00,2026-07-19 00:00,做多,64356.7,64356.7,0.0,739.52,64356.7,回调线入场,64356.7,63617.18,78515.17,2026-07-19 20:00,64376.34,5,0.0266,0.031,0.0,KAMA跟踪,2026
17,参照_回调线入场_B,2026-07-16 12:00,2026-07-16 12:00,做空,64362.2,64450.9,0.138,709.61,64450.9,回调线入场,64450.9,65160.51,56716.79,2026-07-18 00:00,63824.06,9,0.8834,0.973,0.0,KAMA跟踪,2026
18,参照_回调线入场_B,2026-07-13 08:00,2026-07-13 08:00,做空,63602.8,63602.8,0.0,678.04,63602.8,回调线入场,63602.8,64280.84,55970.46,2026-07-14 20:00,62900.63,9,1.0356,1.104,0.0,KAMA跟踪,2026
19,参照_回调线入场_B,2026-07-10 08:00,2026-07-10 08:00,做多,63484.9,63286.5,0.313,857.13,63286.5,回调线入场,63286.5,62429.37,77209.53,2026-07-11 20:00,63776.54,9,0.5717,0.774,0.0,KAMA跟踪,2026
20,参照_回调线入场_B,2026-07-08 16:00,2026-07-08 16:00,做空,62434.9,62638.0,0.325,837.24,62638.0,回调线入场,62638.0,63475.24,55121.44,2026-07-09 12:00,62576.99,5,0.0729,0.097,0.0,KAMA跟踪,2026
21,参照_回调线入场_B,2026-07-07 04:00,2026-07-07 04:00,做多,63990.7,63990.7,0.0,734.42,63990.7,回调线入场,63990.7,63256.28,78068.65,2026-07-07 08:00,63256.28,1,-1.0,-1.148,0.0,ATR止损,2026
22,参照_回调线入场_B,2026-07-06 04:00,2026-07-06 04:00,做多,63430.0,63430.0,0.0,767.97,63430.0,回调线入场,63430.0,62662.03,77384.6,2026-07-06 16:00,62662.03,3,-1.0,-1.211,0.0,ATR止损,2026
23,参照_回调线入场_B,2026-07-01 20:00,2026-07-01 20:00,做多,59444.5,59264.4,0.303,874.0,59264.4,回调线入场,59264.4,58390.4,72302.57,2026-07-05 08:00,62594.59,21,3.8103,5.619,0.0,KAMA跟踪,2026
24,参照_回调线入场_B,2026-06-30 20:00,2026-06-30 20:00,做空,58988.0,58988.0,0.0,941.52,58988.0,回调线入场,58988.0,59929.52,51909.44,2026-07-01 12:00,59169.7,4,-0.193,-0.308,0.0,保本平仓,2026
25,参照_回调线入场_B,2026-06-29 00:00,2026-06-29 00:00,做空,59714.8,59714.8,0.0,926.27,59714.8,回调线入场,59714.8,60641.07,52549.02,2026-06-29 16:00,59998.9,4,-0.3067,-0.476,0.0,保本平仓,2026
26,参照_回调线入场_B,2026-06-27 20:00,2026-06-27 20:00,做多,60580.0,60580.0,0.0,1145.22,60580.0,回调线入场,60580.0,59434.78,73907.6,2026-06-28 12:00,60169.5,4,-0.3584,-0.678,0.0,KAMA跟踪,2026
27,参照_回调线入场_B,2026-06-24 20:00,2026-06-24 20:00,做空,61916.9,61916.9,0.0,805.19,61916.9,回调线入场,61916.9,62722.09,54486.87,2026-06-25 12:00,61592.38,4,0.403,0.524,0.0,KAMA跟踪,2026
28,参照_回调线入场_B,2026-06-23 16:00,2026-06-23 16:00,做空,62532.4,64014.9,2.371,749.87,64014.9,回调线入场,64014.9,64764.77,56333.11,2026-06-24 16:00,63194.02,6,1.0947,1.282,0.0,KAMA跟踪,2026
29,参照_回调线入场_B,2026-06-22 20:00,2026-06-22 20:00,做多,64788.0,64337.3,0.696,723.63,64337.3,回调线入场,64337.3,63613.67,78491.51,2026-06-23 12:00,64037.2,4,-0.4147,-0.466,0.0,保本平仓,2026
30,参照_回调线入场_B,2026-06-22 04:00,2026-06-22 04:00,做空,63820.0,63820.0,0.0,791.88,63820.0,回调线入场,63820.0,64611.88,56161.6,2026-06-22 08:00,64611.88,1,-1.0,-1.241,0.0,ATR止损,2026
31,参照_回调线入场_B,2026-06-21 08:00,2026-06-21 08:00,做多,64370.9,64370.9,0.0,823.71,64370.9,回调线入场,64370.9,63547.19,78532.5,2026-06-22 00:00,64200.2,4,-0.2072,-0.265,0.0,保本平仓,2026
32,参照_回调线入场_B,2026-06-20 04:00,2026-06-20 04:00,做多,63410.3,63266.8,0.226,913.54,63266.8,回调线入场,63266.8,62353.26,77185.5,2026-06-20 20:00,63651.4,4,0.421,0.608,0.0,KAMA跟踪,2026
33,参照_回调线入场_B,2026-06-17 16:00,2026-06-17 16:00,做空,65200.0,65328.8,0.198,841.67,65328.8,回调线入场,65328.8,66170.47,57489.34,2026-06-18 00:00,66170.47,2,-1.0,-1.288,0.0,ATR止损,2026
34,参照_回调线入场_B,2026-06-15 08:00,2026-06-15 08:00,做多,65775.0,64682.2,1.661,831.9,64682.2,回调线入场,64682.2,63850.3,78912.28,2026-06-16 20:00,65625.5,9,1.1339,1.458,0.0,KAMA跟踪,2026
35,参照_回调线入场_B,2026-06-15 00:00,2026-06-15 00:00,做空,63830.0,63862.9,0.052,873.89,63862.9,回调线入场,63862.9,64736.79,56199.35,2026-06-15 04:00,64736.79,1,-1.0,-1.368,0.0,ATR止损,2026
36,参照_回调线入场_B,2026-06-11 16:00,2026-06-11 16:00,做多,62993.4,62840.2,0.243,1199.11,62840.2,回调线入场,62840.2,61641.09,76665.04,2026-06-12 12:00,62840.2,5,0.0,0.0,0.0,保本平仓,2026
37,参照_回调线入场_B,2026-06-09 20:00,2026-06-09 20:00,做空,62381.2,62658.4,0.444,1322.16,62658.4,回调线入场,62658.4,63980.56,55139.39,2026-06-10 20:00,62137.32,6,0.3941,0.832,0.0,KAMA跟踪,2026
38,参照_回调线入场_B,2026-06-07 16:00,2026-06-07 16:00,做多,62380.0,61475.0,1.451,1468.01,61475.0,回调线入场,61475.0,60006.99,74999.5,2026-06-09 08:00,62717.65,10,0.8465,2.021,0.0,KAMA跟踪,2026
39,参照_回调线入场_B,2026-06-04 04:00,2026-06-04 04:00,做空,65199.0,65359.1,0.246,1037.06,65359.1,回调线入场,65359.1,66396.16,57516.01,2026-06-07 12:00,61889.77,20,3.3454,5.308,0.0,KAMA跟踪,2026
40,参照_回调线入场_B,2026-05-27 00:00,2026-05-27 00:00,做空,76234.7,76434.0,0.261,737.43,76434.0,回调线入场,76434.0,77171.43,67261.92,2026-05-29 04:00,73833.6,13,3.5263,3.402,0.0,KAMA跟踪,2026
41,参照_回调线入场_B,2026-05-24 04:00,2026-05-24 04:00,做多,76054.1,76054.1,0.0,755.29,76054.1,回调线入场,76054.1,75298.81,92786.0,2026-05-26 08:00,76624.03,13,0.7546,0.749,0.0,KAMA跟踪,2026
42,参照_回调线入场_B,2026-05-23 00:00,2026-05-23 00:00,做空,76528.0,76970.0,0.578,763.42,76970.0,回调线入场,76970.0,77733.42,67733.6,2026-05-24 00:00,75808.08,6,1.522,1.51,0.0,KAMA跟踪,2026
43,参照_回调线入场_B,2026-05-21 08:00,2026-05-21 08:00,做多,77825.8,77825.8,0.0,751.52,77825.8,回调线入场,77825.8,77074.28,94947.48,2026-05-21 20:00,77074.28,3,-1.0,-0.966,0.0,ATR止损,2026
44,参照_回调线入场_B,2026-05-18 04:00,2026-05-18 04:00,做空,77675.4,77675.4,0.0,755.39,77675.4,回调线入场,77675.4,78430.79,68354.35,2026-05-18 20:00,77675.4,4,0.0,0.0,0.0,保本平仓,2026
45,参照_回调线入场_B,2026-05-15 20:00,2026-05-15 20:00,做空,79196.4,79196.4,0.0,874.52,79196.4,回调线入场,79196.4,80070.92,69692.83,2026-05-17 12:00,78229.76,10,1.1053,1.221,0.0,KAMA跟踪,2026
46,参照_回调线入场_B,2026-05-14 20:00,2026-05-14 20:00,做多,80558.0,80558.0,0.0,807.53,80558.0,回调线入场,80558.0,79750.47,98280.76,2026-05-15 12:00,80558.0,4,0.0,0.0,0.0,保本平仓,2026
47,参照_回调线入场_B,2026-05-13 20:00,2026-05-13 20:00,做空,79801.0,79801.0,0.0,778.58,79801.0,回调线入场,79801.0,80579.58,70224.88,2026-05-14 12:00,79801.0,4,0.0,0.0,0.0,保本平仓,2026
48,参照_回调线入场_B,2026-05-12 20:00,2026-05-12 20:00,做空,80394.0,80394.0,0.0,786.15,80394.0,回调线入场,80394.0,81180.15,70746.72,2026-05-13 08:00,81180.15,3,-1.0,-0.978,0.0,ATR止损,2026
49,参照_回调线入场_B,2026-05-10 20:00,2026-05-10 20:00,做多,81043.2,81043.2,0.0,763.27,81043.2,回调线入场,81043.2,80279.93,98872.7,2026-05-11 04:00,80279.93,2,-1.0,-0.942,0.0,ATR止损,2026
50,参照_回调线入场_B,2026-05-10 00:00,2026-05-10 00:00,做多,80641.8,80641.8,0.0,818.57,80641.8,回调线入场,80641.8,79823.23,98383.0,2026-05-10 16:00,80641.8,4,0.0,0.0,0.0,保本平仓,2026
51,参照_回调线入场_B,2026-05-05 08:00,2026-05-05 08:00,做多,80771.7,80590.2,0.225,757.43,80590.2,回调线入场,80590.2,79832.77,98320.04,2026-05-07 16:00,80653.53,14,0.0836,0.079,0.0,KAMA跟踪,2026
52,参照_回调线入场_B,2026-05-03 04:00,2026-05-03 04:00,做多,78565.9,78503.9,0.079,777.96,78503.9,回调线入场,78503.9,77725.94,95774.76,2026-05-04 04:00,78503.9,6,0.0,0.0,0.0,保本平仓,2026
53,参照_回调线入场_B,2026-05-01 08:00,2026-05-01 08:00,做多,76630.3,76445.0,0.242,871.21,76445.0,回调线入场,76445.0,75573.79,93262.9,2026-05-02 04:00,77743.03,5,1.4899,1.698,0.0,KAMA跟踪,2026
54,参照_回调线入场_B,2026-04-30 00:00,2026-04-30 00:00,做空,75675.2,75840.3,0.218,818.22,75840.3,回调线入场,75840.3,76658.52,66739.46,2026-04-30 16:00,76129.9,4,-0.3539,-0.382,0.0,保本平仓,2026
55,参照_回调线入场_B,2026-04-29 16:00,2026-04-29 16:00,做多,77432.1,76956.0,0.615,837.84,76956.0,回调线入场,76956.0,76118.16,93886.32,2026-04-29 20:00,76118.16,1,-1.0,-1.089,0.0,ATR止损,2026
56,参照_回调线入场_B,2026-04-27 20:00,2026-04-27 20:00,做空,77408.6,77715.0,0.396,755.82,77715.0,回调线入场,77715.0,78470.82,68389.2,2026-04-29 08:00,77058.09,9,0.8691,0.845,0.0,KAMA跟踪,2026
57,参照_回调线入场_B,2026-04-26 12:00,2026-04-26 12:00,做多,77847.0,77847.0,0.0,896.43,77847.0,回调线入场,77847.0,76950.57,94973.34,2026-04-27 04:00,77847.0,4,0.0,0.0,0.0,保本平仓,2026
58,参照_回调线入场_B,2026-04-22 08:00,2026-04-22 08:00,做多,76999.0,76999.0,0.0,960.24,76999.0,回调线入场,76999.0,76038.76,93938.78,2026-04-23 16:00,76999.0,8,0.0,0.0,0.0,保本平仓,2026
59,参照_回调线入场_B,2026-04-22 00:00,2026-04-22 00:00,做空,75242.5,75242.5,0.0,981.69,75242.5,回调线入场,75242.5,76224.19,66213.4,2026-04-22 04:00,76224.19,1,-1.0,-1.305,0.0,ATR止损,2026
60,参照_回调线入场_B,2026-04-21 00:00,2026-04-21 00:00,做多,75817.7,75817.7,0.0,924.35,75817.7,回调线入场,75817.7,74893.35,92497.59,2026-04-21 20:00,75817.7,5,0.0,0.0,0.0,保本平仓,2026
61,参照_回调线入场_B,2026-04-20 04:00,2026-04-20 04:00,做空,74550.0,74824.3,0.368,918.48,74824.3,回调线入场,74824.3,75742.78,65845.38,2026-04-20 20:00,75148.8,4,-0.3533,-0.434,0.0,保本平仓,2026
62,参照_回调线入场_B,2026-04-17 16:00,2026-04-17 16:00,做多,75500.0,75500.0,0.0,989.44,75500.0,回调线入场,75500.0,74510.56,92110.0,2026-04-18 16:00,75735.56,6,0.2381,0.312,0.0,KAMA跟踪,2026
63,参照_回调线入场_B,2026-04-15 12:00,2026-04-15 12:00,做空,73766.8,74112.2,0.468,937.3,74112.2,回调线入场,74112.2,75049.5,65218.74,2026-04-16 00:00,75049.5,3,-1.0,-1.265,0.0,ATR止损,2026
64,参照_回调线入场_B,2026-04-14 00:00,2026-04-14 00:00,做多,72431.0,71423.9,1.39,867.41,71423.9,回调线入场,71423.9,70556.49,87137.16,2026-04-15 00:00,73994.79,6,2.9639,3.599,0.0,KAMA跟踪,2026
65,参照_回调线入场_B,2026-04-12 20:00,2026-04-12 20:00,做空,71259.0,72451.9,1.674,887.48,72451.9,回调线入场,72451.9,73339.38,63757.67,2026-04-13 20:00,71365.27,6,1.2244,1.5,0.0,KAMA跟踪,2026
66,参照_回调线入场_B,2026-04-08 04:00,2026-04-08 04:00,做多,69940.0,69940.0,0.0,847.13,69940.0,回调线入场,69940.0,69092.87,85326.8,2026-04-12 08:00,72133.82,25,2.5897,3.137,0.0,KAMA跟踪,2026
67,参照_回调线入场_B,2026-04-06 04:00,2026-04-06 04:00,做多,67828.6,67452.7,0.554,749.62,67452.7,回调线入场,67452.7,66703.08,82292.29,2026-04-07 04:00,69017.45,6,2.0874,2.32,0.0,KAMA跟踪,2026
68,参照_回调线入场_B,2026-04-04 20:00,2026-04-04 20:00,做多,67350.0,67350.0,0.0,973.28,67350.0,回调线入场,67350.0,66376.72,82167.0,2026-04-05 12:00,67113.4,4,-0.2431,-0.351,0.0,保本平仓,2026
69,参照_回调线入场_B,2026-04-01 12:00,2026-04-01 12:00,做多,68600.0,67865.7,1.07,989.42,67865.7,回调线入场,67865.7,66876.28,82796.15,2026-04-02 08:00,67865.7,5,0.0,0.0,0.0,保本平仓,2026
70,参照_回调线入场_B,2026-03-30 12:00,2026-03-30 12:00,做多,67487.7,66986.8,0.742,920.53,66986.8,回调线入场,66986.8,66066.27,81723.9,2026-03-31 04:00,66515.9,4,-0.5116,-0.703,0.0,保本平仓,2026
71,参照_回调线入场_B,2026-03-30 04:00,2026-03-30 04:00,做空,66111.0,66233.6,0.185,971.12,66233.6,回调线入场,66233.6,67204.72,58285.57,2026-03-30 08:00,67204.72,1,-1.0,-1.466,0.0,ATR止损,2026
72,参照_回调线入场_B,2026-03-26 12:00,2026-03-26 12:00,做空,70531.4,70531.4,0.0,1141.67,70531.4,回调线入场,70531.4,71673.07,62067.63,2026-03-28 20:00,66635.38,14,3.4126,5.524,0.0,KAMA跟踪,2026
73,参照_回调线入场_B,2026-03-25 16:00,2026-03-25 16:00,做多,71339.8,71339.8,0.0,1128.1,71339.8,回调线入场,71339.8,70211.7,87034.56,2026-03-26 08:00,71297.5,4,-0.0375,-0.059,0.0,保本平仓,2026
74,参照_回调线入场_B,2026-03-25 00:00,2026-03-25 00:00,做空,69467.8,70100.5,0.911,1197.83,70100.5,回调线入场,70100.5,71298.33,61688.44,2026-03-25 12:00,71298.33,3,-1.0,-1.709,0.0,ATR止损,2026
75,参照_回调线入场_B,2026-03-22 04:00,2026-03-22 04:00,做空,69701.3,69701.3,0.0,1121.44,69701.3,回调线入场,69701.3,70822.74,61337.14,2026-03-23 16:00,69023.47,9,0.6044,0.972,0.0,KAMA跟踪,2026
76,参照_回调线入场_B,2026-03-18 16:00,2026-03-18 16:00,做空,73330.3,73330.3,0.0,1114.99,73330.3,回调线入场,73330.3,74445.29,64530.66,2026-03-20 08:00,70564.92,10,2.4802,3.771,0.0,KAMA跟踪,2026
77,参照_回调线入场_B,2026-03-15 08:00,2026-03-15 08:00,做多,71272.3,71272.3,0.0,1182.78,71272.3,回调线入场,71272.3,70089.52,86952.21,2026-03-17 16:00,73645.19,14,2.0062,3.329,0.0,KAMA跟踪,2026
78,参照_回调线入场_B,2026-03-13 08:00,2026-03-13 08:00,做多,70756.5,70756.5,0.0,1222.88,70756.5,回调线入场,70756.5,69533.62,86322.93,2026-03-14 04:00,70756.5,5,0.0,0.0,0.0,保本平仓,2026
79,参照_回调线入场_B,2026-03-11 16:00,2026-03-11 16:00,做空,69184.8,69184.8,0.0,1305.54,69184.8,回调线入场,69184.8,70490.34,60882.62,2026-03-11 20:00,70490.34,1,-1.0,-1.887,0.0,ATR止损,2026
80,参照_回调线入场_B,2026-03-09 20:00,2026-03-09 20:00,做多,68441.5,67623.0,1.196,1156.17,67623.0,回调线入场,67623.0,66466.83,82500.06,2026-03-11 12:00,69337.05,10,1.4825,2.535,0.0,KAMA跟踪,2026
81,参照_回调线入场_B,2026-03-09 04:00,2026-03-09 04:00,做空,66508.0,66508.0,0.0,1176.31,66508.0,回调线入场,66508.0,67684.31,58527.04,2026-03-09 12:00,67684.31,2,-1.0,-1.769,0.0,ATR止损,2026
82,参照_回调线入场_B,2026-03-08 00:00,2026-03-08 00:00,做空,67411.0,67712.3,0.447,1464.78,67712.3,回调线入场,67712.3,69177.08,59586.82,2026-03-08 16:00,67370.68,4,0.2332,0.505,0.0,KAMA跟踪,2026
83,参照_回调线入场_B,2026-03-04 12:00,2026-03-04 12:00,做多,68972.9,68561.9,0.596,1406.66,68561.9,回调线入场,68561.9,67155.24,83645.52,2026-03-06 08:00,70484.54,11,1.3668,2.804,0.0,KAMA跟踪,2026
84,参照_回调线入场_B,2026-03-02 20:00,2026-03-02 20:00,做多,67333.0,67333.0,0.0,1297.26,67333.0,回调线入场,67333.0,66035.74,82146.26,2026-03-03 16:00,67333.0,5,0.0,0.0,0.0,保本平仓,2026
85,参照_回调线入场_B,2026-03-01 00:00,2026-03-01 00:00,做多,66095.2,66095.2,0.0,1189.48,66095.2,回调线入场,66095.2,64905.72,80636.14,2026-03-02 00:00,66095.2,6,0.0,0.0,0.0,保本平仓,2026
86,参照_回调线入场_B,2026-02-27 16:00,2026-02-27 16:00,做空,66462.0,66462.0,0.0,1242.43,66462.0,回调线入场,66462.0,67704.43,58486.56,2026-02-28 20:00,65241.82,7,0.9821,1.836,0.0,KAMA跟踪,2026
87,参照_回调线入场_B,2026-02-25 20:00,2026-02-25 20:00,做多,66283.1,66283.1,0.0,1107.32,66283.1,回调线入场,66283.1,65175.78,80865.38,2026-02-26 20:00,66980.87,6,0.6301,1.053,0.0,KAMA跟踪,2026
88,参照_回调线入场_B,2026-02-22 20:00,2026-02-22 20:00,做空,67763.7,67763.7,0.0,919.41,67763.7,回调线入场,67763.7,68683.11,59632.06,2026-02-25 08:00,64958.26,15,3.0513,4.14,0.0,KAMA跟踪,2026
89,参照_回调线入场_B,2026-02-21 20:00,2026-02-21 20:00,做多,68280.0,68220.0,0.088,1071.82,68220.0,回调线入场,68220.0,67148.18,83228.4,2026-02-22 12:00,68010.5,4,-0.1955,-0.307,0.0,保本平仓,2026
90,参照_回调线入场_B,2026-02-20 08:00,2026-02-20 08:00,做多,67299.4,67299.4,0.0,1130.63,67299.4,回调线入场,67299.4,66168.77,82105.27,2026-02-21 00:00,67547.6,4,0.2195,0.369,0.0,KAMA跟踪,2026
91,参照_回调线入场_B,2026-02-19 00:00,2026-02-19 00:00,做空,66666.2,66824.5,0.237,1215.7,66824.5,回调线入场,66824.5,68040.2,58805.56,2026-02-19 16:00,67180.4,4,-0.2928,-0.533,0.0,保本平仓,2026
92,参照_回调线入场_B,2026-02-16 00:00,2026-02-16 00:00,做空,68741.4,69212.2,0.685,1292.2,69212.2,回调线入场,69212.2,70504.4,60906.74,2026-02-16 20:00,69212.2,5,0.0,0.0,0.0,保本平仓,2026
93,参照_回调线入场_B,2026-02-13 20:00,2026-02-13 20:00,做多,68385.0,68385.0,0.0,1635.49,68385.0,回调线入场,68385.0,66749.51,83429.7,2026-02-15 20:00,69613.03,12,0.7509,1.796,0.0,KAMA跟踪,2026
94,参照_回调线入场_B,2026-02-13 00:00,2026-02-13 00:00,做空,65834.5,65834.5,0.0,1738.06,65834.5,回调线入场,65834.5,67572.56,57934.36,2026-02-13 16:00,66183.3,4,-0.2007,-0.53,0.0,保本平仓,2026
95,参照_回调线入场_B,2026-02-11 12:00,2026-02-11 12:00,做空,67883.0,67883.0,0.0,1782.9,67883.0,回调线入场,67883.0,69665.9,59737.04,2026-02-12 04:00,67651.73,4,0.1297,0.341,0.0,KAMA跟踪,2026
96,参照_回调线入场_B,2026-02-08 16:00,2026-02-08 16:00,做多,70000.0,70000.0,0.0,2341.62,70000.0,回调线入场,70000.0,67658.38,85400.0,2026-02-09 16:00,70000.0,6,0.0,0.0,0.0,保本平仓,2026
97,参照_回调线入场_B,2026-02-07 00:00,2026-02-07 00:00,做多,69157.9,68667.4,0.709,1997.6,68667.4,回调线入场,68667.4,66669.8,83774.23,2026-02-07 16:00,68050.5,4,-0.3088,-0.898,0.0,保本平仓,2026
98,参照_回调线入场_B,2026-02-04 00:00,2026-02-04 00:00,做空,77000.5,77566.5,0.735,1643.07,77566.5,回调线入场,77566.5,79209.57,68258.52,2026-02-05 20:00,68258.52,11,5.665,12.0,0.0,固定止盈,2026
99,参照_回调线入场_B,2026-01-31 20:00,2026-01-31 20:00,做空,81832.0,81832.0,0.0,1392.26,81832.0,回调线入场,81832.0,83224.26,72012.16,2026-02-02 20:00,77985.09,12,2.7631,4.701,0.0,KAMA跟踪,2026
100,参照_回调线入场_B,2026-01-29 08:00,2026-01-29 08:00,做空,88786.0,88786.0,0.0,946.02,88786.0,回调线入场,88786.0,89732.02,78131.68,2026-01-31 00:00,83974.14,10,5.0864,5.42,0.0,KAMA跟踪,2026
101,参照_回调线入场_B,2026-01-28 04:00,2026-01-28 04:00,做多,88983.3,88983.3,0.0,966.84,88983.3,回调线入场,88983.3,88016.46,108559.63,2026-01-28 20:00,88983.3,4,0.0,0.0,0.0,保本平仓,2026
102,参照_回调线入场_B,2026-01-25 08:00,2026-01-25 08:00,做空,89116.9,89383.5,0.299,1067.05,89383.5,回调线入场,89383.5,90450.55,78657.48,2026-01-26 08:00,87498.98,6,1.7661,2.108,0.0,KAMA跟踪,2026
103,参照_回调线入场_B,2026-01-19 04:00,2026-01-19 04:00,做空,94819.5,94819.5,0.0,861.13,94819.5,回调线入场,94819.5,95680.63,83441.16,2026-01-21 20:00,89741.66,16,5.8967,5.355,0.0,KAMA跟踪,2026
104,参照_回调线入场_B,2026-01-16 20:00,2026-01-16 20:00,做空,95080.0,95080.0,0.0,1171.4,95080.0,回调线入场,95080.0,96251.4,83670.4,2026-01-17 12:00,95324.1,4,-0.2084,-0.257,0.0,保本平仓,2026
105,参照_回调线入场_B,2026-01-13 20:00,2026-01-13 20:00,做多,92676.6,92299.0,0.407,906.93,92299.0,回调线入场,92299.0,91392.07,112604.78,2026-01-15 20:00,95879.35,12,3.9478,3.879,0.0,KAMA跟踪,2026
106,参照_回调线入场_B,2026-01-11 20:00,2026-01-11 20:00,做多,90818.0,90758.7,0.065,938.43,90758.7,回调线入场,90758.7,89820.27,110725.61,2026-01-12 16:00,91327.58,5,0.6062,0.627,0.0,KAMA跟踪,2026
107,参照_回调线入场_B,2026-01-04 04:00,2026-01-04 04:00,做多,90456.0,90456.0,0.0,852.76,90456.0,回调线入场,90456.0,89603.24,110356.32,2026-01-07 00:00,93197.91,17,3.2153,3.031,0.0,KAMA跟踪,2026
108,参照_回调线入场_B,2026-01-02 00:00,2026-01-02 00:00,做多,88079.3,88065.0,0.016,832.0,88065.0,回调线入场,88065.0,87233.0,107439.3,2026-01-02 20:00,88737.12,5,0.8078,0.763,0.0,KAMA跟踪,2026
109,参照_回调线入场_B,2026-01-01 00:00,2026-01-01 00:00,做空,87729.2,87833.2,0.119,889.85,87833.2,回调线入场,87833.2,88723.05,77293.22,2026-01-01 16:00,87833.2,4,0.0,0.0,0.0,保本平仓,2026
110,参照_回调线入场_B,2025-12-30 20:00,2025-12-30 20:00,做多,88190.6,88150.0,0.046,915.78,88150.0,回调线入场,88150.0,87234.22,107543.0,2025-12-31 12:00,88411.6,4,0.2857,0.297,0.0,KAMA跟踪,2025
111,参照_回调线入场_B,2025-12-29 08:00,2025-12-29 08:00,做多,88078.3,88078.3,0.0,750.7,88078.3,回调线入场,88078.3,87327.6,107455.53,2025-12-29 20:00,87327.6,3,-1.0,-0.852,0.0,ATR止损,2025
112,参照_回调线入场_B,2025-12-28 04:00,2025-12-28 04:00,做多,87750.0,87750.0,0.0,1056.5,87750.0,回调线入场,87750.0,86693.5,107055.0,2025-12-28 20:00,87835.76,4,0.0812,0.098,0.0,KAMA跟踪,2025
