序号,信号时间,方向,6K极值,入场基准,成交价,基准类型,回调偏移%,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,是否歧义,可能错过MFE%,可能错过R值,可能错过出场,可能错过持仓K数,是否错过大行情,年份
1,2026-08-23 12:00,做空,76772.0,76772.0,76772.0,回退6K极值,,981.19,1.278,成交,确认,77753.19,67559.36,2026-08-23 16:00,76261.9,1,0.52,未平仓,否,,1.05,0.59,否,,,,,,2026
2,2026-08-19 20:00,做多,65057.9,65057.9,65057.9,回调基准,0.0,396.31,0.609,成交,确认,64661.59,79370.64,2026-08-21 16:00,79370.64,11,63.786,止盈,是,68404.1,22.28,4.22,否,,,,,,2026
3,2026-08-17 08:00,做多,63370.0,63132.2,63132.2,回调基准,0.375,330.47,0.523,成交,确认,62801.73,77021.28,2026-08-19 08:00,64315.38,12,4.021,KAMA跟踪止损,是,64169.9,3.05,0.19,否,,,,,,2026
4,2026-08-17 04:00,做空,62928.5,62928.5,62928.5,回调基准,0.0,324.91,0.516,成交,弱突破,,,2026-08-17 04:00,62876.0,0,0.162,弱突破平仓,否,,0.0,0.0,否,0.33,-1.0,止损,1,,2026
5,2026-08-10 20:00,做空,64794.4,64794.4,64794.4,回调基准,0.0,417.42,0.644,成交,确认,65211.82,57019.07,2026-08-12 16:00,64089.11,11,1.517,KAMA跟踪止损,是,64017.2,2.44,0.5,否,,,,,,2026
6,2026-08-09 20:00,做多,65163.0,65163.0,65163.0,回调基准,0.0,411.39,0.631,成交,弱突破,,,2026-08-09 20:00,65207.7,0,0.109,弱突破平仓,否,,0.0,0.0,否,0.49,-0.527,止损,4,,2026
7,2026-08-09 08:00,做空,64784.3,64784.3,64784.3,回调基准,0.0,447.35,0.691,成交,弱突破,,,2026-08-09 08:00,64759.0,0,0.057,弱突破平仓,否,,0.0,0.0,否,0.06,-1.0,止损,3,,2026
8,2026-08-07 16:00,做多,64971.0,64971.0,64971.0,回调基准,0.0,539.87,0.831,成交,弱突破,,,2026-08-07 16:00,64996.1,0,0.046,弱突破平仓,否,,0.0,0.0,否,0.6,-0.158,止损,4,,2026
9,2026-08-06 00:00,做多,64728.5,64512.9,64512.9,回调基准,0.333,593.51,0.92,成交,弱突破,,,2026-08-06 00:00,64805.7,0,0.493,弱突破平仓,否,,0.0,0.0,否,0.79,0.0,止损,4,,2026
10,2026-08-03 12:00,做空,62745.0,62961.1,62961.1,回调基准,0.344,555.27,0.882,成交,确认,63516.37,55405.77,2026-08-03 20:00,63516.37,2,-1.0,前3K止损,否,,1.1,-1.59,否,,,,,,2026
11,2026-08-02 08:00,做多,63126.6,63126.6,63126.6,回调基准,0.0,567.76,0.899,成交,确认,62558.84,77014.45,2026-08-03 00:00,63192.85,4,0.117,KAMA跟踪止损,否,,0.78,-0.26,否,,,,,,2026
12,2026-08-02 00:00,做空,62680.1,62680.1,62680.1,回调基准,0.0,566.67,0.904,成交,弱突破,,,2026-08-02 00:00,62502.1,0,0.314,弱突破平仓,否,,0.0,0.0,否,0.36,-1.0,止损,2,,2026
13,2026-07-31 20:00,做空,63577.0,64571.4,,回调基准,-1.564,647.9,1.003,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
14,2026-07-31 16:00,做空,63835.6,63950.0,63950.0,回调基准,0.179,660.67,1.033,成交,弱突破,,,2026-07-31 16:00,63779.4,0,0.258,弱突破平仓,否,,0.0,0.0,否,2.69,1.187,止损,10,,2026
15,2026-07-30 16:00,做多,64715.9,64715.9,64715.9,回调基准,0.0,649.62,1.004,成交,弱突破,,,2026-07-30 16:00,64766.8,0,0.078,弱突破平仓,否,,0.0,0.0,否,1.04,0.0,止损,4,,2026
16,2026-07-28 04:00,做空,64374.4,64606.3,64606.3,回调基准,0.36,529.13,0.819,成交,确认,65135.43,56853.54,2026-07-29 12:00,64390.63,8,-1.635,KAMA跟踪止损,是,63310.1,3.01,0.1,否,,,,,,2026
17,2026-07-27 04:00,做多,64909.0,64909.0,64909.0,回退6K极值,,462.9,0.713,成交,确认,64446.1,79188.98,2026-07-27 20:00,64938.45,4,0.064,KAMA跟踪止损,否,,1.25,-0.82,否,,,,,,2026
18,2026-07-24 20:00,做空,64636.0,64636.0,64636.0,回调基准,0.0,597.19,0.924,成交,确认,65233.19,56879.68,2026-07-26 20:00,64558.3,12,0.13,KAMA跟踪止损,否,,1.35,-0.28,否,,,,,,2026
19,2026-07-23 20:00,做空,65313.7,65505.0,65505.0,回调基准,0.293,603.4,0.921,成交,确认,66108.4,57644.4,2026-07-24 12:00,65350.14,4,0.257,KAMA跟踪止损,否,,1.33,-0.42,否,,,,,,2026
20,2026-07-23 12:00,做空,65505.0,65505.0,65505.0,回调基准,0.0,622.66,0.951,成交,弱突破,,,2026-07-23 12:00,65405.3,0,0.16,弱突破平仓,否,,0.0,0.0,否,1.33,0.254,止损,5,,2026
21,2026-07-20 20:00,做多,65084.6,65084.6,65084.6,回调基准,0.0,615.13,0.945,成交,确认,64469.47,79403.21,2026-07-22 20:00,65611.39,12,-0.047,KAMA跟踪止损,是,66166.9,2.83,-0.11,否,,,,,,2026
22,2026-07-20 12:00,做空,64259.5,64259.5,64259.5,回调基准,0.0,557.36,0.867,成交,弱突破,,,2026-07-20 12:00,64250.0,0,0.017,弱突破平仓,否,,0.0,0.0,否,0.62,-1.0,止损,1,,2026
23,2026-07-19 04:00,做多,64666.0,64188.2,,回调基准,0.739,619.86,0.966,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
24,2026-07-19 00:00,做多,64356.7,64356.7,64356.7,回调基准,0.0,620.3,0.964,成交,弱突破,,,2026-07-19 00:00,64526.3,0,0.273,弱突破平仓,否,,0.0,0.0,否,0.92,0.032,止损,5,,2026
25,2026-07-17 12:00,做空,63358.0,63358.0,63358.0,回退6K极值,,695.71,1.098,成交,确认,64053.71,55755.04,2026-07-18 00:00,64053.71,3,-1.0,前3K止损,否,,1.35,-1.58,否,,,,,,2026
26,2026-07-17 08:00,做空,63712.6,63712.6,63712.6,回退6K极值,,696.35,1.093,成交,弱突破,,,2026-07-17 08:00,63538.1,0,0.251,弱突破平仓,否,,0.0,0.0,否,1.9,0.0,止损,4,,2026
27,2026-07-17 04:00,做空,63833.0,63833.0,63833.0,回退6K极值,,704.72,1.104,成交,弱突破,,,2026-07-17 04:00,63801.0,0,0.045,弱突破平仓,否,,0.0,0.0,否,2.08,0.013,止损,5,,2026
28,2026-07-16 12:00,做空,64362.2,64450.9,64450.9,回调基准,0.138,681.15,1.057,成交,弱突破,,,2026-07-16 12:00,64200.0,0,0.368,弱突破平仓,否,,0.0,0.0,否,3.02,0.92,止损,9,,2026
29,2026-07-15 20:00,做多,65260.0,65260.0,65260.0,回退6K极值,,692.72,1.061,成交,弱突破,,,2026-07-15 20:00,65391.6,0,0.19,弱突破平仓,否,,0.0,0.0,否,0.27,-1.0,止损,3,,2026
30,2026-07-15 04:00,做多,64950.0,64950.0,64950.0,回退6K极值,,709.04,1.092,成交,弱突破,,,2026-07-15 04:00,65014.7,0,0.091,弱突破平仓,否,,0.0,0.0,否,0.98,-0.342,止损,4,,2026
31,2026-07-13 08:00,做空,63602.8,63602.8,63602.8,回调基准,0.0,625.17,0.983,成交,确认,64227.97,55970.46,2026-07-14 20:00,62900.63,9,0.637,KAMA跟踪止损,是,62596.6,2.83,-2.12,否,,,,,,2026
32,2026-07-10 08:00,做多,63484.9,63286.5,63286.5,回调基准,0.313,819.67,1.295,成交,确认,62466.83,77209.53,2026-07-11 20:00,63776.54,9,0.598,KAMA跟踪止损,否,,2.2,0.53,否,,,,,,2026
33,2026-07-09 12:00,做多,62921.8,62921.8,62921.8,回调基准,0.0,830.8,1.32,成交,弱突破,,,2026-07-09 12:00,62973.7,0,0.062,弱突破平仓,否,,0.0,0.0,否,1.75,0.0,止损,5,,2026
34,2026-07-08 20:00,做空,61708.2,62638.0,,回调基准,-1.507,852.65,1.361,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
35,2026-07-08 16:00,做空,62434.9,62638.0,62638.0,回调基准,0.325,833.66,1.331,成交,弱突破,,,2026-07-08 16:00,62270.0,0,0.441,弱突破平仓,否,,0.0,0.0,否,1.78,0.073,止损,5,,2026
36,2026-07-07 04:00,做多,63990.7,63990.7,63990.7,回调基准,0.0,794.37,1.241,成交,弱突破,,,2026-07-07 04:00,64023.6,0,0.041,弱突破平仓,否,,0.0,0.0,否,0.48,-1.0,止损,1,,2026
37,2026-07-06 04:00,做多,63430.0,63430.0,63430.0,回调基准,0.0,698.83,1.102,成交,弱突破,,,2026-07-06 04:00,63617.1,0,0.268,弱突破平仓,否,,0.0,0.0,否,0.74,-1.0,止损,3,,2026
38,2026-07-01 20:00,做多,59444.5,59264.4,59264.4,回调基准,0.303,862.07,1.455,成交,确认,58402.33,72302.57,2026-07-05 08:00,62594.59,21,5.675,KAMA跟踪止损,是,61032.9,7.06,0.49,否,,,,,,2026
39,2026-06-30 20:00,做空,58988.0,58988.0,58988.0,回调基准,0.0,861.88,1.461,成交,确认,59849.88,51909.44,2026-07-01 12:00,58988.0,4,0.0,KAMA跟踪止损,否,,2.08,-0.77,否,,,,,,2026
40,2026-06-29 00:00,做空,59714.8,59714.8,59714.8,回调基准,0.0,892.71,1.495,成交,弱突破,,,2026-06-29 00:00,59451.4,0,0.295,弱突破平仓,否,,0.0,0.0,否,1.45,-0.318,止损,4,,2026
41,2026-06-27 20:00,做多,60580.0,60580.0,60580.0,回调基准,0.0,1021.14,1.686,成交,弱突破,,,2026-06-27 20:00,60817.2,0,0.232,弱突破平仓,否,,0.0,0.0,否,0.45,-0.402,止损,4,,2026
42,2026-06-24 20:00,做空,61916.9,61916.9,61916.9,回调基准,0.0,775.53,1.253,成交,确认,62692.43,54486.87,2026-06-25 12:00,61592.38,4,-1.733,KAMA跟踪止损,是,59923.8,4.61,-0.02,否,,,,,,2026
43,2026-06-23 12:00,做空,63758.3,63833.4,63833.4,回调基准,0.118,746.67,1.17,成交,确认,64580.07,56173.39,2026-06-24 16:00,63194.02,7,-0.102,KAMA跟踪止损,是,62478.5,3.08,0.98,否,,,,,,2026
44,2026-06-22 20:00,做多,64788.0,64337.3,,回调基准,0.696,749.87,1.166,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
45,2026-06-22 04:00,做空,63820.0,63820.0,63820.0,回调基准,0.0,706.33,1.107,成交,确认,64526.33,56161.6,2026-06-22 08:00,64526.33,1,-1.0,前3K止损,否,,0.84,-1.52,否,,,,,,2026
46,2026-06-21 08:00,做多,64370.9,64370.9,64370.9,回调基准,0.0,791.88,1.23,成交,弱突破,,,2026-06-21 08:00,64398.8,0,0.035,弱突破平仓,否,,0.0,0.0,否,0.31,-0.216,止损,4,,2026
47,2026-06-20 20:00,做多,63894.0,63894.0,63894.0,回退6K极值,,802.08,1.255,成交,弱突破,,,2026-06-20 20:00,64139.5,0,0.306,弱突破平仓,否,,0.0,0.0,否,1.05,0.106,止损,5,,2026
48,2026-06-18 20:00,做空,63660.1,63660.1,63660.1,回退6K极值,,876.51,1.377,成交,确认,64536.61,56020.89,2026-06-20 08:00,63660.1,9,0.0,KAMA跟踪止损,否,,2.24,-0.15,否,,,,,,2026
49,2026-06-17 16:00,做空,65200.0,65328.8,65328.8,回调基准,0.198,804.47,1.231,成交,确认,66133.27,57489.34,2026-06-18 00:00,66133.27,2,-1.0,前3K止损,否,,2.01,-1.67,否,,,,,,2026
50,2026-06-15 04:00,做多,64738.0,64738.0,64738.0,回调基准,0.0,768.64,1.187,成交,确认,63969.36,78980.36,2026-06-16 20:00,65625.5,10,0.804,KAMA跟踪止损,是,65894.7,3.89,0.89,否,,,,,,2026
51,2026-06-15 00:00,做空,63830.0,63862.9,63862.9,回调基准,0.052,781.02,1.223,成交,弱突破,,,2026-06-15 00:00,63777.3,0,0.11,弱突破平仓,否,,0.0,0.0,否,0.16,-1.0,止损,1,,2026
52,2026-06-14 04:00,做多,64323.0,64323.0,64323.0,回退6K极值,,873.89,1.359,成交,弱突破,,,2026-06-14 04:00,64418.2,0,0.109,弱突破平仓,否,,0.0,0.0,否,0.56,0.0,止损,4,,2026
53,2026-06-12 00:00,做多,63235.9,63235.9,63235.9,回退6K极值,,1104.02,1.746,成交,弱突破,,,2026-06-12 00:00,63567.6,0,0.3,弱突破平仓,否,,0.0,0.0,否,1.1,-0.153,止损,4,,2026
54,2026-06-11 16:00,做多,62993.4,62840.2,62840.2,回调基准,0.243,1153.42,1.835,成交,弱突破,,,2026-06-11 16:00,63078.0,0,0.206,弱突破平仓,否,,0.0,0.0,否,1.71,0.0,止损,5,,2026
55,2026-06-09 20:00,做空,62381.2,62658.4,62658.4,回调基准,0.444,1203.28,1.92,成交,确认,63861.68,55139.39,2026-06-10 20:00,62137.32,6,0.433,KAMA跟踪止损,否,,3.14,-0.29,否,,,,,,2026
56,2026-06-08 04:00,做多,62942.4,62942.4,62942.4,回调基准,0.0,1273.73,2.024,成交,弱突破,,,2026-06-08 04:00,63298.5,0,0.28,弱突破平仓,否,,0.0,0.0,否,1.97,0.0,止损,4,,2026
57,2026-06-07 16:00,做多,62380.0,61475.0,,回调基准,1.451,1317.41,2.143,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
58,2026-06-04 04:00,做空,65199.0,65359.1,65359.1,回调基准,0.246,1069.29,1.636,成交,确认,66428.39,57516.01,2026-06-07 12:00,61889.77,20,4.808,KAMA跟踪止损,是,63561.7,9.61,0.95,否,,,,,,2026
59,2026-06-01 12:00,做空,73171.0,73171.0,73171.0,回退6K极值,,673.03,0.92,成交,确认,73844.03,64390.48,2026-06-03 12:00,67343.88,12,14.238,KAMA跟踪止损,是,71099.4,10.68,0.12,否,,,,,,2026
60,2026-05-27 00:00,做空,76234.7,76434.0,76434.0,回调基准,0.261,796.61,1.042,成交,确认,77230.61,67261.92,2026-05-29 04:00,73833.6,13,4.779,KAMA跟踪止损,是,75039.9,5.07,0.36,否,,,,,,2026
61,2026-05-24 04:00,做多,76054.1,76054.1,76054.1,回调基准,0.0,770.65,1.013,成交,确认,75283.45,92786.0,2026-05-26 08:00,76624.03,13,-0.124,KAMA跟踪止损,是,77289.5,2.41,0.0,否,,,,,,2026
62,2026-05-23 00:00,做空,76528.0,76970.0,76970.0,回调基准,0.578,720.01,0.935,成交,确认,77690.01,67733.6,2026-05-24 00:00,75808.08,6,1.204,KAMA跟踪止损,是,75513.1,3.59,1.19,否,,,,,,2026
63,2026-05-21 08:00,做多,77825.8,77825.8,77825.8,回调基准,0.0,739.59,0.95,成交,弱突破,,,2026-05-21 08:00,78039.1,0,0.288,弱突破平仓,否,,0.0,0.0,否,0.46,-1.0,止损,3,,2026
64,2026-05-18 20:00,做空,76534.5,76534.5,76534.5,回退6K极值,,761.43,0.995,成交,弱突破,,,2026-05-18 20:00,76393.5,0,0.185,弱突破平仓,否,,0.0,0.0,否,0.56,-1.0,止损,3,,2026
65,2026-05-18 04:00,做空,77675.4,77675.4,77675.4,回调基准,0.0,720.81,0.928,成交,弱突破,,,2026-05-18 04:00,77430.4,0,0.34,弱突破平仓,否,,0.0,0.0,否,2.14,0.0,止损,4,,2026
66,2026-05-16 12:00,做空,78610.0,78610.0,78610.0,回调基准,0.0,821.69,1.045,成交,弱突破,,,2026-05-16 12:00,78334.3,0,0.336,弱突破平仓,否,,0.0,0.0,否,1.28,0.463,止损,6,,2026
67,2026-05-15 20:00,做空,79196.4,79196.4,79196.4,回调基准,0.0,842.53,1.064,成交,弱突破,,,2026-05-15 20:00,79118.0,0,0.093,弱突破平仓,否,,0.0,0.0,否,2.01,1.147,止损,10,,2026
68,2026-05-14 20:00,做多,80558.0,80558.0,80558.0,回调基准,0.0,811.4,1.007,成交,确认,79746.6,98280.76,2026-05-15 12:00,80558.0,4,0.0,KAMA跟踪止损,否,,1.79,-0.36,否,,,,,,2026
69,2026-05-13 20:00,做空,79801.0,79801.0,79801.0,回调基准,0.0,755.04,0.946,成交,确认,80556.04,70224.88,2026-05-14 12:00,79801.0,4,0.0,KAMA跟踪止损,否,,1.36,-0.2,否,,,,,,2026
70,2026-05-12 20:00,做空,80394.0,80394.0,80394.0,回调基准,0.0,761.87,0.948,成交,弱突破,,,2026-05-12 20:00,80301.6,0,0.121,弱突破平仓,否,,0.0,0.0,否,0.74,-1.0,止损,3,,2026
71,2026-05-10 20:00,做多,81043.2,81043.2,81043.2,回调基准,0.0,674.51,0.832,成交,确认,80368.69,98872.7,2026-05-11 04:00,80368.69,2,-3.682,前3K止损,是,82177.7,1.75,-1.01,否,,,,,,2026
72,2026-05-10 00:00,做多,80641.8,80641.8,80641.8,回调基准,0.0,771.69,0.957,成交,弱突破,,,2026-05-10 00:00,80896.9,0,0.331,弱突破平仓,否,,0.0,0.0,否,0.37,0.0,止损,4,,2026
73,2026-05-07 20:00,做空,80521.8,80521.8,80521.8,回退6K极值,,902.12,1.12,成交,确认,81423.92,70859.18,2026-05-08 16:00,80284.83,5,0.263,KAMA跟踪止损,否,,1.72,0.24,否,,,,,,2026
74,2026-05-06 16:00,做多,81745.4,81745.4,81745.4,回调基准,0.0,857.25,1.049,成交,确认,80888.15,99729.39,2026-05-07 08:00,81745.4,4,0.0,KAMA跟踪止损,否,,0.93,-1.2,否,,,,,,2026
75,2026-05-05 20:00,做多,81278.2,81278.2,81278.2,回退6K极值,,868.01,1.068,成交,弱突破,,,2026-05-05 20:00,81488.7,0,0.243,弱突破平仓,否,,0.0,0.0,否,0.57,0.0,止损,4,,2026
76,2026-05-05 08:00,做多,80771.7,80590.2,80590.2,回调基准,0.225,876.52,1.088,成交,弱突破,,,2026-05-05 08:00,80836.9,0,0.281,弱突破平仓,否,,0.0,0.0,否,2.78,0.072,止损,14,,2026
77,2026-05-04 08:00,做多,79428.9,79428.9,79428.9,回退6K极值,,660.24,0.831,成交,确认,78768.66,96903.26,2026-05-04 16:00,78768.66,2,-1.0,前3K止损,否,,1.46,-1.64,否,,,,,,2026
78,2026-05-03 04:00,做多,78565.9,78503.9,78503.9,回调基准,0.079,699.65,0.891,成交,弱突破,,,2026-05-03 04:00,78652.9,0,0.213,弱突破平仓,否,,0.0,0.0,否,1.18,0.0,止损,6,,2026
79,2026-05-01 08:00,做多,76630.3,76445.0,76445.0,回调基准,0.242,797.56,1.043,成交,确认,75647.44,93262.9,2026-05-02 04:00,77743.03,5,0.81,KAMA跟踪止损,是,78395.4,3.19,0.51,否,,,,,,2026
80,2026-04-30 00:00,做空,75675.2,75840.3,75840.3,回调基准,0.218,852.92,1.125,成交,弱突破,,,2026-04-30 00:00,75518.5,0,0.377,弱突破平仓,否,,0.0,0.0,否,0.75,-0.34,止损,4,,2026
81,2026-04-29 16:00,做多,77432.1,76956.0,76956.0,回调基准,0.615,790.19,1.027,成交,确认,76165.81,93886.32,2026-04-29 20:00,76165.81,1,-1.0,前3K止损,否,,0.79,-1.66,否,,,,,,2026
82,2026-04-27 20:00,做空,77408.6,77715.0,77715.0,回调基准,0.396,819.47,1.054,成交,确认,78534.47,68389.2,2026-04-29 08:00,77058.09,9,-0.247,KAMA跟踪止损,是,76198.8,2.68,0.34,否,,,,,,2026
83,2026-04-27 08:00,做多,78994.8,78994.8,78994.8,回退6K极值,,774.5,0.98,成交,弱突破,,,2026-04-27 08:00,79065.1,0,0.091,弱突破平仓,否,,0.0,0.0,否,0.17,-1.0,止损,1,,2026
84,2026-04-27 04:00,做多,78477.9,78477.9,78477.9,回退6K极值,,751.17,0.957,成交,弱突破,,,2026-04-27 04:00,78613.5,0,0.181,弱突破平仓,否,,0.0,0.0,否,1.25,-1.0,止损,2,,2026
85,2026-04-27 00:00,做多,78182.8,78182.8,78182.8,回退6K极值,,755.82,0.967,成交,弱突破,,,2026-04-27 00:00,78183.1,0,0.0,弱突破平仓,否,,0.0,0.0,否,1.63,-1.0,止损,3,,2026
86,2026-04-26 12:00,做多,77847.0,77847.0,77847.0,回调基准,0.0,796.7,1.023,成交,弱突破,,,2026-04-26 12:00,78061.5,0,0.269,弱突破平仓,否,,0.0,0.0,否,1.47,0.0,止损,4,,2026
87,2026-04-22 20:00,做多,78447.5,76574.3,,回调基准,2.388,1021.57,1.334,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
88,2026-04-22 12:00,做多,77699.0,76999.0,,回调基准,0.901,1046.61,1.359,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
89,2026-04-22 08:00,做多,76999.0,76999.0,76999.0,回调基准,0.0,1016.41,1.32,成交,弱突破,,,2026-04-22 08:00,77488.3,0,0.481,弱突破平仓,否,,0.0,0.0,否,3.18,0.0,止损,8,,2026
90,2026-04-22 00:00,做空,75242.5,75242.5,75242.5,回调基准,0.0,973.18,1.293,成交,弱突破,,,2026-04-22 00:00,74988.6,0,0.261,弱突破平仓,否,,0.0,0.0,否,0.4,-1.0,止损,1,,2026
91,2026-04-21 00:00,做多,75817.7,75817.7,75817.7,回调基准,0.0,969.82,1.279,成交,弱突破,,,2026-04-21 00:00,76252.5,0,0.448,弱突破平仓,否,,0.0,0.0,否,1.56,0.0,止损,5,,2026
92,2026-04-20 04:00,做空,74550.0,74824.3,74824.3,回调基准,0.368,924.35,1.235,成交,确认,75748.65,65845.38,2026-04-20 20:00,74824.3,4,0.0,KAMA跟踪止损,否,,1.54,-1.24,否,,,,,,2026
93,2026-04-19 12:00,做空,75314.0,75314.0,75314.0,回退6K极值,,918.24,1.219,成交,弱突破,,,2026-04-19 12:00,75205.6,0,0.118,弱突破平仓,否,,0.0,0.0,否,2.18,0.273,止损,6,,2026
94,2026-04-19 00:00,做空,75710.6,75710.6,75710.6,回退6K极值,,985.14,1.301,成交,弱突破,,,2026-04-19 00:00,75604.2,0,0.108,弱突破平仓,否,,0.0,0.0,否,1.17,0.159,止损,4,,2026
95,2026-04-17 20:00,做多,76350.0,75500.0,75500.0,回调基准,1.113,973.28,1.289,成交,确认,74526.72,92110.0,2026-04-18 16:00,75735.56,5,-1.416,KAMA跟踪止损,是,77348.8,3.71,0.28,否,,,,,,2026
96,2026-04-17 16:00,做多,75500.0,75500.0,75500.0,回调基准,0.0,950.91,1.259,成交,弱突破,,,2026-04-17 16:00,75542.2,0,0.044,弱突破平仓,否,,0.0,0.0,否,3.71,0.248,止损,6,,2026
97,2026-04-15 12:00,做空,73766.8,74112.2,74112.2,回调基准,0.468,973.77,1.314,成交,弱突破,,,2026-04-15 12:00,73705.1,0,0.418,弱突破平仓,否,,0.0,0.0,否,0.77,-1.0,止损,3,,2026
98,2026-04-14 20:00,做多,74900.0,74900.0,74900.0,回退6K极值,,920.75,1.229,成交,弱突破,,,2026-04-14 20:00,75268.1,0,0.4,弱突破平仓,否,,0.0,0.0,否,1.05,-1.0,止损,1,,2026
99,2026-04-14 04:00,做多,73441.7,71423.9,,回调基准,2.747,911.15,1.276,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
100,2026-04-14 00:00,做多,72431.0,71423.9,,回调基准,1.39,863.73,1.209,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
101,2026-04-13 20:00,做多,71478.0,71478.0,71478.0,回调基准,0.0,819.25,1.146,成交,弱突破,,,2026-04-13 20:00,71823.6,0,0.422,弱突破平仓,否,,0.0,0.0,否,6.34,3.072,止损,7,,2026
102,2026-04-12 20:00,做空,71259.0,72451.9,,回调基准,-1.674,884.03,1.22,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
103,2026-04-08 04:00,做多,69940.0,69940.0,69940.0,回调基准,0.0,862.05,1.233,成交,确认,69077.95,85326.8,2026-04-12 08:00,72133.82,25,3.559,KAMA跟踪止损,是,71259.6,5.48,0.7,否,,,,,,2026
104,2026-04-06 04:00,做多,67828.6,67452.7,67452.7,回调基准,0.554,712.74,1.057,成交,确认,66739.96,82292.29,2026-04-07 04:00,69017.45,6,2.09,KAMA跟踪止损,是,69092.4,4.27,1.15,否,,,,,,2026
105,2026-04-04 20:00,做多,67350.0,67350.0,67350.0,回调基准,0.0,811.24,1.205,成交,弱突破,,,2026-04-04 20:00,67357.3,0,0.009,弱突破平仓,否,,0.0,0.0,否,0.26,-0.292,止损,4,,2026
106,2026-04-02 08:00,做空,67534.9,67534.9,67534.9,回调基准,0.0,1015.38,1.503,成交,确认,68550.28,59430.71,2026-04-03 00:00,67285.6,4,0.246,KAMA跟踪止损,否,,2.75,0.2,否,,,,,,2026
107,2026-04-01 12:00,做多,68600.0,67865.7,,回调基准,1.07,1041.53,1.535,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
108,2026-03-30 12:00,做多,67487.7,66986.8,,回调基准,0.742,972.18,1.451,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
109,2026-03-30 08:00,做多,67100.0,67100.0,67100.0,回调基准,0.0,932.11,1.389,成交,弱突破,,,2026-03-30 08:00,67139.8,0,0.043,弱突破平仓,否,,0.0,0.0,否,1.56,0.0,止损,4,,2026
110,2026-03-30 04:00,做空,66111.0,66233.6,66233.6,回调基准,0.185,883.82,1.334,成交,弱突破,,,2026-03-30 04:00,65977.9,0,0.289,弱突破平仓,否,,0.0,0.0,否,0.72,-1.0,止损,1,,2026
111,2026-03-27 16:00,做空,68115.8,68115.8,68115.8,回调基准,0.0,1072.93,1.575,成交,确认,69188.73,59941.9,2026-03-28 20:00,66635.38,7,0.873,KAMA跟踪止损,是,66092.0,3.84,1.22,否,,,,,,2026
112,2026-03-27 00:00,做空,68553.4,68553.4,68553.4,回退6K极值,,1122.26,1.637,成交,弱突破,,,2026-03-27 00:00,68502.7,0,0.045,弱突破平仓,否,,0.0,0.0,否,3.47,0.0,止损,4,,2026
113,2026-03-26 20:00,做空,69127.2,70531.4,,回调基准,-2.031,1111.91,1.576,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
114,2026-03-26 16:00,做空,69722.6,70531.4,,回调基准,-1.16,1117.57,1.585,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
115,2026-03-26 12:00,做空,70531.4,70531.4,70531.4,回调基准,0.0,1115.37,1.581,成交,弱突破,,,2026-03-26 12:00,70053.8,0,0.428,弱突破平仓,否,,0.0,0.0,否,7.13,3.493,止损,14,,2026
116,2026-03-25 16:00,做多,71339.8,71339.8,71339.8,回调基准,0.0,1121.69,1.572,成交,弱突破,,,2026-03-25 16:00,71650.3,0,0.277,弱突破平仓,否,,0.0,0.0,否,0.83,-0.038,止损,4,,2026
117,2026-03-25 00:00,做空,69467.8,70100.5,,回调基准,-0.911,1155.5,1.648,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
118,2026-03-22 04:00,做空,69701.3,69701.3,69701.3,回调基准,0.0,961.56,1.38,成交,确认,70662.86,61337.14,2026-03-23 16:00,69023.47,9,-0.175,KAMA跟踪止损,是,68177.0,3.45,-2.53,否,,,,,,2026
119,2026-03-19 20:00,做空,69421.1,69421.1,69421.1,回退6K极值,,1134.97,1.635,成交,弱突破,,,2026-03-19 20:00,69372.7,0,0.043,弱突破平仓,否,,0.0,0.0,否,0.51,-1.0,止损,1,,2026
120,2026-03-19 12:00,做空,70456.0,70456.0,70456.0,回退6K极值,,1127.63,1.6,成交,弱突破,,,2026-03-19 12:00,70145.1,0,0.276,弱突破平仓,否,,0.0,0.0,否,2.42,0.0,止损,4,,2026
121,2026-03-18 20:00,做空,72731.6,73330.3,,回调基准,-0.823,1107.66,1.511,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
